Region	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
......5795 Palézieux*	728	748	575	4297	1081	2324	3936	2324	5067	4117	8871	7205	1935	370	1120	3231	147	0
......5794 Oron-le-Châtel*	1440	50	0	0	1303	2494	1247	1637	10	350	2898	1393	224	1557	1442	2649	1730	0
......5793 Oron-la-Ville*	1485	80	1870	3595	2770	875	2836	1775	1727	4155	8569	6150	3790	5810	6395	10130	22319	0
......5792 Montpreveyres	830	1878	548	955	1873	869	824	2555	3010	5016	3828	2081	1014	573	391	1241	2316	4581
......5791 Mézières (VD)	550	4911	5636	2644	2359	1769	2705	1484	2435	4052	2664	1675	1974	4868	3103	9613	10862	5587
......5790 Maracon	270	30	767	744	395	685	2008	1000	120	466	1489	535	930	1795	2098	2909	910	629
......5789 Ferlens (VD)	50	0	269	946	1452	910	680	1540	1108	1060	428	1052	1050	1555	1226	1246	599	1670
......5788 Essertes	168	36	25	825	702	640	980	770	1095	695	58	112	1032	158	290	7280	4174	1109
......5787 Ecoteaux*	1890	622	397	1135	1410	200	834	773	355	450	794	747	1276	1583	95	1251	3693	0
......5786 Les Cullayes*	1228	200	1546	1480	524	680	895	600	3432	2867	4625	1993	1239	1137	1620	2405	1844	0
......5785 Corcelles-le-Jorat	1237	1250	0	1264	150	454	690	293	1410	876	429	1151	2495	1062	2235	934	1179	992
......5784 Chesalles-sur-Oron*	15	5	460	0	21	50	260	67	300	50	410	1923	2073	1762	710	232	1087	0
......5783 Châtillens*	1328	520	50	540	0	770	538	542	736	2367	976	302	371	405	706	1358	5107	0
......5782 Carrouge (VD)	1364	150	200	512	1150	2020	995	1994	2045	2929	4217	10048	6109	5485	2030	1900	4658	9405
......5781 Bussigny-sur-Oron*	220	320	406	82	350	300	30	30	0	30	0	1392	2080	300	125	264	184	0
......5766 Vuiteboeuf	1310	362	2196	2247	335	1050	780	3115	1360	760	1588	420	1040	600	1050	510	3134	4561
......5765 Vaulion	2570	3266	732	1825	1743	555	745	17	1115	190	515	180	980	1708	778	283	840	1225
......5764 Vallorbe	3361	1730	6251	3862	4461	2649	2580	4502	5085	6875	8341	3808	9298	4969	6175	13575	11526	6736
......5763 Valeyres-sous-Rances	402	410	588	334	55	251	685	160	250	366	1215	1184	1700	2562	1557	5290	5773	4835
......5762 Sergey	660	658	1050	30	50	440	200	0	40	1509	0	800	1430	200	180	67	429	1033
......5761 Romainmôtier-Envy	425	75	300	0	100	100	1100	250	350	840	0	840	1059	282	1150	1552	1853	3309
......5760 Rances	380	910	793	805	890	1355	1609	2339	1600	374	0	805	895	914	1125	1204	628	1023
......5759 Premier	510	191	30	0	0	0	230	0	55	352	0	95	61	1	0	109	393	376
......5758 La Praz	300	100	113	100	50	310	250	0	160	1018	800	100	0	10	450	865	647	130
......5757 Orbe	14034	11982	11184	31049	9047	14560	25717	26863	16915	25643	44723	21772	35736	26938	31834	39684	44437	35681
......5756 Montcherand	1370	2198	820	1088	2667	2782	1774	1265	1562	374	516	785	1457	882	2600	3264	3684	3362
......5755 Lignerolle	800	1860	1340	580	1130	2100	1126	397	406	2345	1434	3225	408	691	689	721	829	1319
......5754 Juriens	0	115	250	470	565	303	263	270	614	1991	705	1497	1142	1181	146	900	3537	2946
......5752 Croy	300	300	1051	580	425	525	975	815	770	700	867	1490	205	4354	1601	0	664	1277
......5751 Corcelles-sur-Chavornay	3440	0	40	1700	2023	150	150	425	415	171	766	523	231	1139	693	1218	711	423
......5750 Les Clées	590	305	238	300	300	40	104	0	58	30	1400	400	245	205	350	391	321	159
......5749 Chavornay	9552	11874	11555	5307	1810	3586	6099	3442	10874	19245	18140	15491	11816	11599	17492	15135	30032	23485
......5748 Bretonnières	475	175	200	500	430	1050	461	1518	486	575	155	70	105	23	2	1323	62	1556
......5747 Bofflens	182	745	0	610	300	300	70	0	0	200	85	100	563	80	900	1406	1258	1363
......5746 Bavois	2980	0	331	572	365	610	540	400	630	720	472	2729	2490	1250	1076	3745	8247	9899
......5745 Baulmes	2744	1090	1799	845	1094	2361	4935	2561	3202	3586	4126	1087	3297	2723	1229	1039	4388	3118
......5744 Ballaigues	3720	1380	1936	1540	4838	1841	5178	1749	584	3080	3479	4484	5162	3611	1156	12532	10846	5346
......5743 Arnex-sur-Orbe	780	310	220	0	320	380	1960	321	1022	1480	1020	710	2015	1515	1268	1546	4670	2569
......5742 Agiez	50	566	799	1280	490	203	267	455	460	285	185	1300	980	346	494	627	1451	913
......5741 L'Abergement	800	315	100	30	225	1645	259	45	80	1169	2291	530	265	350	160	120	147	709
......5732 Vich	6004	7349	2420	1355	625	409	645	1588	2450	4410	2003	3872	9633	7255	13790	12049	13099	4933
......5731 Le Vaud	1078	5053	1856	1983	1187	1539	3121	3092	3707	4442	5815	3359	5320	3350	3889	4516	3562	2895
......5730 Trélex	7899	3453	4191	5664	2913	4719	6560	2419	6875	9970	5649	9340	7090	5495	10527	6174	5044	6378
......5729 Tannay	550	4580	2700	3930	4111	800	2736	3144	1600	11609	14452	13090	7550	10332	2641	10143	7269	11300
......5728 Signy-Avenex	180	25466	34779	105	500	4289	3120	1106	780	20	3655	2135	400	160	758	1706	3297	2588
......5727 Saint-Cergue	990	1484	533	1558	574	900	2930	1459	4095	3465	3792	7107	13719	11081	13580	13102	10712	25281
......5726 La Rippe	5812	4538	4400	1677	225	1602	355	2273	2212	2490	1714	9850	1646	3623	1970	1979	4224	5748
......5725 Prangins	3150	1460	7140	29670	22570	12644	7915	13820	28935	19675	11295	13546	25504	9514	9455	7243	8288	9716
......5724 Nyon	48881	20562	62203	53656	65478	48687	61182	88983	111925	131974	140118	130610	85672	80627	138528	85799	94981	133907
......5723 Mies	2785	1510	2674	4381	5476	6817	13132	6374	11533	7863	10500	13305	11644	16040	11284	15315	29229	22973
......5722 Grens	680	1480	1347	2015	1335	496	850	936	2204	2647	1237	1389	785	232	68	2111	3315	1702
......5721 Gland	30518	32492	40468	34726	42954	28855	36385	39865	42950	44717	50387	55003	39908	34482	30867	34588	32978	63920
......5720 Givrins	463	3240	1835	1452	1205	3303	3883	4471	4655	3884	6601	2735	4410	1335	6389	6712	2648	5760
......5719 Gingins	1618	2635	4959	3052	2426	4265	1983	3468	3870	6806	4930	7025	6220	3347	3755	14344	7956	1075
......5718 Genolier	1735	372	87	0	57	387	5097	880	9347	14645	20139	12194	14045	14337	6106	16378	18560	9694
......5717 Founex	12860	7836	11355	11831	9110	16030	16198	15682	18190	18465	21212	17825	14617	24595	11079	39163	46943	20459
......5716 Eysins	650	1433	2786	177	972	829	2773	3603	5635	13638	5020	6895	18420	6155	35715	25818	53506	23037
......5715 Duillier	4014	4022	2074	3492	2551	4918	3981	6595	2156	263	345	8398	10157	2657	629	893	605	3668
......5714 Crassier	200	1450	739	3435	5645	4110	4378	2000	10000	3024	21951	4550	1410	3315	2865	2674	1573	3861
......5713 Crans-près-Céligny	1020	7870	3500	3904	7700	4663	7083	1150	2544	3091	9115	20056	19505	7628	11620	21016	28168	18745
......5712 Coppet	9837	2722	3422	5031	4427	8110	13852	14442	40108	17041	35132	16152	23064	32201	6370	16900	18288	12538
......5711 Commugny	1090	2794	1612	6588	6236	10181	7948	11653	7540	7631	6105	6415	3145	8060	6280	9265	12270	21129
......5710 Coinsins	937	448	1133	2050	81	2035	1792	600	1922	3707	2995	1255	800	115	110	5	920	1527
......5709 Chéserex	4243	2285	2858	3700	3334	9148	8124	12424	4286	6108	6996	6576	5532	21474	24476	3800	6290	4531
......5708 Chavannes-des-Bois	4517	283	630	10	1310	0	1200	1100	180	0	0	4900	6302	4447	20718	22256	13678	163
......5707 Chavannes-de-Bogis	631	22	131	1261	2346	2164	1355	10330	8400	5334	1680	4580	700	320	3100	13707	17095	11531
......5706 Borex	1615	2235	1294	495	192	191	1118	1649	876	7975	2355	1400	280	1615	2160	5594	4121	4957
......5705 Bogis-Bossey	766	877	1210	154	178	6935	5520	2155	2601	1536	1706	2960	1970	100	5200	220	3688	2436
......5704 Begnins	763	2390	3960	3450	4210	2258	7280	3140	1120	6597	11750	10278	23726	8500	6037	6345	3852	11211
......5703 Bassins	235	288	1239	2375	3560	2035	5500	1945	4932	10238	6028	12625	5363	989	3335	8589	16639	13153
......5702 Arzier	1475	4735	3031	2942	5851	11120	6888	7379	5595	10489	9510	10263	10120	13749	17903	20066	23603	21331
......5701 Arnex-sur-Nyon	1196	70	50	150	40	190	726	70	20	4	601	250	1300	14250	920	9147	9222	1182
......5693 Montanaire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5692 Vucherens	170	150	1240	356	2030	1237	872	344	2607	2050	2284	1955	3582	680	890	1548	823	1162
......5691 Villars-Mendraz*	120	275	150	600	180	1034	115	330	0	40	100	1030	599	645	481	1125	0	0
......5690 Villars-le-Comte	0	0	0	0	250	310	600	390	55	605	835	930	570	330	625	30	6	0
......5689 Thierrens*	718	1265	1049	1067	2105	1235	2176	709	1418	3422	889	2098	1936	1275	2196	3835	3960	3090
......5688 Syens	680	450	100	700	400	100	150	200	0	80	0	80	0	40	717	131	134	0
......5687 Sottens*	850	400	812	710	448	1152	460	563	456	411	768	936	844	1855	1735	2195	0	0
......5686 Sarzens	130	70	58	62	180	220	24	0	850	580	564	220	90	405	25	0	20	610
......5685 Saint-Cierges*	17	160	783	955	345	620	110	1629	1206	1867	1351	2821	553	956	1820	3837	4867	3379
......5684 Rossenges	0	0	0	0	135	0	900	5	0	0	35	0	0	70	255	195	264	34
......5683 Prévonloup	0	150	60	0	0	0	100	80	0	870	200	200	620	980	566	0	499	216
......5682 Peyres-Possens*	0	350	0	0	150	970	600	0	0	549	701	115	0	450	221	230	231	594
......5681 Oulens-sur-Lucens*	0	0	78	32	225	25	0	0	0	0	0	0	0	0	0	0	0	0
......5680 Ogens	771	200	280	420	1350	210	3845	1300	290	705	850	525	722	423	2275	598	671	552
......5679 Neyruz-sur-Moudon*	30	180	120	730	1025	330	0	300	300	0	0	575	1128	25	50	262	1113	1217
......5678 Moudon	3256	3827	2667	3169	2663	8686	9938	18485	12797	5392	6387	7380	8773	13246	12981	22804	46908	62106
......5677 Montaubion-Chardonney*	0	0	0	0	403	0	0	0	0	475	525	0	0	100	0	0	0	0
......5676 Martherenges*	100	250	100	320	100	0	0	0	0	400	200	300	385	500	200	0	630	0
......5675 Lucens	1893	1093	2281	1021	505	4048	7344	2331	2801	1894	3409	1920	4683	9153	25721	32147	16521	19420
......5674 Lovatens	826	70	60	390	330	287	233	60	0	150	365	100	150	120	140	726	487	462
......5673 Hermenches	300	907	0	0	590	550	335	240	1854	798	1365	160	736	1101	318	1085	1859	1546
......5672 Forel-sur-Lucens	0	0	0	37	0	150	540	50	0	545	400	180	850	504	1675	463	228	366
......5671 Dompierre (VD)	805	195	490	200	0	0	0	150	130	310	335	525	959	536	415	2274	1520	1352
......5670 Denezy*	0	0	0	0	0	0	150	0	50	50	0	0	245	470	490	256	142	0
......5669 Curtilles	225	750	396	200	390	0	0	0	1437	1090	1086	1695	790	1426	353	458	222	1950
......5668 Cremin	0	202	471	44	0	0	0	0	60	40	0	0	0	0	0	0	164	0
......5667 Correvon*	0	0	330	220	0	0	0	0	0	1350	280	130	20	60	40	40	30	28
......5666 Chesalles-sur-Moudon	130	22	0	30	94	390	435	374	0	70	0	300	118	750	1440	396	356	60
......5665 Chavannes-sur-Moudon	492	174	384	53	0	600	65	0	440	600	480	55	513	250	119	1249	902	1653
......5664 Chapelle-sur-Moudon*	440	435	100	795	270	910	562	1002	1357	2275	4273	1044	870	1321	322	4373	3552	1615
......5663 Bussy-sur-Moudon	480	425	0	0	50	163	410	610	699	702	100	400	805	231	70	587	449	30
......5662 Brenles	620	525	270	370	125	304	560	90	565	323	288	260	60	1164	1400	248	95	432
......5661 Boulens	240	10	1086	1893	380	100	235	630	710	1305	1744	1754	3764	1168	450	1630	559	611
......5655 Yens	2050	3220	2277	2265	1890	5194	5957	3654	1874	4039	2768	2330	2637	3154	6944	13717	23137	35506
......5654 Vullierens	405	1080	1471	494	907	240	505	264	1006	102	2870	1561	280	566	840	1509	4020	2616
......5653 Vufflens-le-Château	2647	1838	1554	1937	1329	2233	7082	3066	2202	1590	1789	6669	3270	632	6190	3472	1158	3715
......5652 Villars-sous-Yens	8338	200	20	1912	2715	1030	230	373	173	90	1015	733	1315	3890	3598	1743	786	123
......5651 Villars-Sainte-Croix	3345	2015	1504	165	1290	2670	1689	711	5587	3990	4595	2011	3275	4818	591	1127	820	1614
......5650 Vaux-sur-Morges	200	0	200	350	2300	1750	1620	485	386	85	120	380	150	100	170	1059	163	763
......5649 Tolochenaz	1180	15645	30259	11666	145	15051	24710	1345	12199	1879	5821	8820	5689	9902	2827	3665	18865	28279
......5648 Saint-Sulpice (VD)	5562	10475	5744	12597	14447	5923	5036	6042	12426	15013	18355	12448	4218	16880	30265	19546	30346	42934
......5647 Saint-Saphorin-s-Morges*	2720	720	1260	2920	4080	1783	3764	2085	1810	334	575	245	1238	6734	5433	2495	0	0
......5646 Saint-Prex	5340	3773	23415	23067	8030	8991	21954	6853	12123	76213	85342	37232	15179	62560	33075	34864	37827	30142
......5645 Romanel-sur-Morges	2002	907	279	1265	1542	3225	795	580	290	545	2004	3334	692	345	245	181	63	519
......5644 Reverolle	197	140	170	524	1175	760	535	742	40	863	447	58	370	1900	1500	2643	782	768
......5643 Préverenges	7211	8324	15882	3064	4629	5023	6088	5976	15655	55371	37504	17151	12236	12143	27205	19808	12091	10637
......5642 Morges	82344	45470	15627	10541	11654	7506	37889	37823	31579	28555	71306	70212	32492	35291	18545	39943	62571	86989
......5641 Monnaz*	4708	90	0	496	485	3190	2410	902	3685	2823	1765	910	3150	79	3	0	0	0
......5640 Lussy-sur-Morges	2910	1713	2070	3514	2390	358	632	951	762	1630	6846	892	1377	5458	2117	1541	7123	7672
......5639 Lully (VD)	7093	3326	2460	1140	350	1500	3180	2155	1870	2194	5689	2627	1610	3519	121	2419	3822	7993
......5638 Lonay	9708	5956	8845	3180	2710	4360	10931	5400	9062	20149	5421	1432	6235	10174	7736	3182	3340	4755
......5637 Lavigny	2285	1285	1205	1094	4121	4357	2525	2594	2040	1712	1671	6776	1851	1760	21515	18990	5220	5271
......5636 Etoy	7660	6380	14835	15337	13380	8873	10645	29600	6570	5348	11683	7150	28653	58330	43189	30754	18466	9815
......5635 Ecublens (VD)	17435	8613	8337	21175	14668	29660	31450	32572	22794	33305	43363	26979	23502	44264	79221	80906	81012	86579
......5634 Echichens	1080	760	2076	1000	500	300	1680	435	1496	2612	1260	4590	1587	3436	4660	7895	13562	19932
......5633 Echandens	5465	847	1102	767	4408	1130	2281	3391	4265	4426	6983	4151	4859	6490	10755	10504	4166	1983
......5632 Denges	4082	1285	1075	1665	2380	3136	2125	11493	472	92	16553	1078	9228	4711	1346	691	377	1121
......5631 Denens	965	2190	3458	600	2543	1578	1302	522	2925	8054	7919	347	230	728	593	409	894	2273
......5630 Colombier (VD)*	610	910	929	3958	2602	760	220	370	435	2728	1292	740	363	3750	1734	365	0	0
......5629 Clarmont	775	1103	83	310	475	1210	525	0	200	133	175	375	402	327	300	416	2686	2978
......5628 Chigny	30	1100	1145	145	460	140	310	30	66	3095	1288	5063	965	1300	3270	2751	3037	1427
......5627 Chavannes-près-Renens	6695	16990	2245	148	2040	500	440	320	26327	33742	9372	9881	13565	14997	18356	14195	7217	7598
......5625 Bussy-Chardonney	60	1400	2000	385	1030	1107	130	710	800	3540	1386	590	190	1045	710	132	1725	1068
......5624 Bussigny-près-Lausanne	9424	8712	15736	9451	15403	5830	20915	36675	11490	18202	17153	26148	34452	47782	17750	29923	9245	25000
......5623 Buchillon	1107	3510	5168	4250	1689	1835	1907	3237	2475	2120	1290	3913	1948	2361	6686	3610	9119	10963
......5622 Bremblens	2828	1460	27	56	2495	3855	3474	1592	528	3368	4293	4760	1280	2289	6789	3703	835	1224
......5621 Aclens	1510	1490	369	330	0	453	1848	240	340	20940	776	29087	9102	21265	1850	3852	7854	4845
......5613 Bourg-en-Lavaux	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34308	32903
......5612 Villette (Lavaux)*	1982	2620	260	753	1730	2365	1140	1105	1168	8112	7833	960	845	2848	980	1966	0	0
......5611 Savigny	5060	3173	1715	4872	5422	2125	7427	14205	7190	9474	8705	7519	6401	5328	18166	12231	12546	9791
......5610 Saint-Saphorin (Lavaux)	1175	1300	164	303	257	845	1479	1435	1665	1760	3200	670	361	910	637	8409	6836	2818
......5609 Rivaz	255	330	0	0	36	700	1708	1085	1190	2880	1625	290	1365	1406	2806	961	371	1890
......5608 Riex*	2029	190	700	380	1455	455	252	840	0	0	0	285	295	1423	567	0	0	0
......5607 Puidoux	800	728	1445	14838	5177	5857	4430	2874	3438	13513	7261	2664	4354	3666	5811	16360	16618	15710
......5606 Lutry	13320	15291	13543	22059	37507	46974	41735	27064	28272	28353	39106	56071	36699	55522	51725	57729	43560	48855
......5605 Grandvaux*	3485	3972	2816	5571	4780	3644	4511	2640	4663	10528	10273	7243	10798	5925	11894	13560	0	0
......5604 Forel (Lavaux)	2984	3074	5571	4361	2757	4387	3456	3443	6660	3333	4820	3676	5257	2004	3996	7231	6073	5220
......5603 Epesses*	0	840	0	0	260	100	460	337	738	480	705	505	130	35	85	285	0	0
......5602 Cully*	2238	240	1720	3955	1615	9765	6160	2500	2950	3045	4335	1530	3450	1815	3255	2498	0	0
......5601 Chexbres	4525	500	1600	7000	8045	8967	3666	2601	928	1849	7207	8314	5821	2589	6745	12664	5303	2316
......5592 Romanel-sur-Lausanne	4695	4462	51982	2190	2631	9888	1279	3775	3685	6351	21550	6520	3756	5205	6595	5430	21511	22828
......5591 Renens (VD)	23994	21899	20241	21064	18404	17513	7256	38815	51450	49292	14453	18665	46628	9166	33573	60924	30825	21813
......5590 Pully	17864	35715	38601	25156	32633	47307	48619	59717	43100	55952	38685	44481	37634	42342	46242	47862	61553	68405
......5589 Prilly	18223	19900	2458	26439	22257	64816	25783	8653	21295	13155	12560	15954	12644	13234	23407	29048	26648	63794
......5588 Paudex	4950	4280	583	10992	9053	24010	2344	1355	4275	12946	8828	6794	13500	8878	3555	10767	11252	7550
......5587 Le Mont-sur-Lausanne	8268	5636	8631	9897	18398	19222	6346	13012	15441	27674	25592	13434	19121	25422	50662	77617	7971	26443
......5586 Lausanne	238755	227416	229858	233494	210214	241228	245835	314755	286907	237204	425233	532650	418535	458228	328029	301856	339203	339262
......5585 Jouxtens-Mézery	2391	6509	10281	3644	2070	3878	7340	7715	12251	6501	9838	5077	7565	5645	7168	8941	8058	3262
......5584 Epalinges	31272	20238	7824	14593	14832	12038	16403	19746	10568	14547	26927	42124	52679	37748	23845	42220	44049	48261
......5583 Crissier	21576	12034	24327	51809	51372	52574	41945	26911	36393	16199	18033	32182	8821	26113	46203	48474	34541	28045
......5582 Cheseaux-sur-Lausanne	13589	6481	1540	3025	2640	3530	5781	6272	14936	18486	27713	23042	15586	28956	26078	14325	7707	7000
......5581 Belmont-sur-Lausanne	1220	0	2414	4501	4040	22923	15705	9242	12684	17498	26134	14873	11399	17165	18737	9994	12735	21352
......5571 Tévenon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5795	6197
......5570 Villars-Burquin*	3795	1430	935	495	595	975	735	462	1013	2195	1617	2403	5170	3441	1769	3442	0	0
......5569 Vaugondry*	0	0	0	0	0	100	0	0	0	0	0	0	100	50	0	0	0	0
......5568 Sainte-Croix	3770	1599	1081	8065	8143	10344	1772	2295	3071	3714	4429	4646	3819	6996	6287	6893	9022	6788
......5567 Romairon*	0	0	0	15	15	0	0	50	150	80	20	0	0	0	0	0	0	0
......5566 Provence	1549	2405	541	647	240	465	572	90	780	770	250	1118	2691	1910	2793	2306	2830	2596
......5565 Onnens (VD)	1010	656	289	125	1114	2295	2237	1723	1411	2248	463	1350	1913	1995	1020	1957	3275	1344
......5564 Novalles	282	0	850	0	0	0	690	350	50	920	595	120	280	55	389	480	74	433
......5563 Mutrux	0	0	0	0	0	1240	200	0	0	0	0	10	0	350	110	0	0	0
......5562 Mauborget	565	663	141	110	120	421	384	590	196	50	300	384	199	142	93	367	518	803
......5561 Grandson	7695	6945	11132	6452	2585	3501	4148	7658	5057	10825	15681	7853	8487	13453	5784	16185	18867	15792
......5560 Grandevent	87	860	200	463	102	252	79	551	682	1677	1158	455	712	1505	2509	1842	1839	596
......5559 Giez	1749	686	363	1215	1066	175	111	240	544	950	1460	560	317	139	28	1634	5251	2962
......5558 Fontanezier*	0	0	0	0	0	0	0	0	0	0	0	0	0	355	250	0	0	0
......5557 Fontaines-sur-Grandson	450	586	1200	285	232	764	0	0	300	0	250	25	63	550	1320	108	209	353
......5556 Fiez	1075	161	790	1779	922	322	1535	1107	2306	1294	801	445	1434	2683	1790	1665	1053	698
......5555 Corcelles-près-Concise	725	680	0	2466	1801	365	610	620	1875	852	1583	231	1125	665	1020	4137	2273	1010
......5554 Concise	207	4459	456	1296	625	1450	511	1220	1180	1418	1766	4345	3771	4165	571	6095	6614	9881
......5553 Champagne	1950	3370	980	404	3905	1187	0	1009	1141	765	3508	4057	4945	8615	5270	10831	16535	9711
......5552 Bullet	630	406	488	790	879	611	1265	1320	906	825	1715	1954	4140	367	2560	1567	769	1344
......5551 Bonvillars	300	125	272	255	490	2100	1010	510	522	2635	2255	4487	1450	1340	6648	266	1917	9255
......5541 Goumoëns	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2024	7511
......5540 Montilliez	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10014	9908
......5539 Vuarrens	1243	505	70	615	197	1797	828	1311	2720	3495	5496	3198	3185	2990	7364	4306	5029	11266
......5538 Villars-Tiercelin*	180	527	150	940	1170	935	815	430	600	487	412	2362	2334	2266	1411	1102	0	0
......5537 Villars-le-Terroir	1907	1050	660	955	1409	3915	1951	3130	2988	1282	2022	1144	1066	2717	7910	2666	6111	9220
......5536 Sugnens*	120	0	74	2950	1879	605	600	2373	824	1600	1992	1276	828	3195	1320	900	0	0
......5535 Saint-Barthélemy (VD)	49	3175	10015	5159	4645	460	3080	500	1430	3239	2706	3297	2718	4259	4755	4564	2343	2427
......5534 Rueyres	500	190	880	1316	900	1200	345	911	3130	1190	100	570	1585	2370	28501	8816	1994	1965
......5533 Poliez-Pittet	460	1530	2480	840	2034	1820	1267	195	3835	3190	2242	1250	4133	1909	1195	2815	2817	3650
......5532 Poliez-le-Grand*	200	1308	700	911	650	300	97	300	5030	2457	1333	3815	7198	12306	2489	3252	0	0
......5531 Penthéréaz	700	180	80	2580	1380	2245	2710	820	400	140	1070	425	55	741	2459	623	3027	727
......5530 Pailly	311	1775	1410	891	390	533	320	1949	976	2660	1737	905	2490	3975	846	3813	1438	2309
......5529 Oulens-sous-Echallens	515	1240	915	665	0	150	330	603	1692	2150	3535	2714	1870	3382	3201	1003	2917	2060
......5528 Naz*	150	1120	360	880	510	0	15	20	0	0	0	4263	1989	500	10	213	0	0
......5527 Morrens (VD)	2503	1889	660	2250	2491	1807	2324	217	502	2005	1510	2041	1214	1089	1184	4013	2877	2450
......5526 Malapalud*	0	100	220	0	0	0	0	2000	250	2500	78	0	2200	180	0	0	0	0
......5525 Goumoens-le-Jux*	20	0	170	850	10	5	25	0	120	106	200	450	160	860	1085	207	0	0
......5524 Goumoens-la-Ville*	2115	1090	2060	830	1005	788	863	1517	1780	1120	1869	5441	1115	363	1423	1	0	0
......5523 Froideville	1676	3027	3247	2615	4074	2544	3630	1970	1595	1140	7739	11115	8351	6133	6329	17886	17445	20404
......5522 Fey	420	1130	1098	1950	104	160	970	1030	1280	2623	7158	1190	2012	5712	1120	3198	4049	5982
......5521 Etagnières	2405	4375	1680	8600	5688	2309	1905	1278	1260	2454	4183	4627	9567	1759	4108	2346	5886	9494
......5520 Essertines-sur-Yverdon	780	520	1145	1506	1596	738	1217	820	2000	3843	7358	2325	3685	4104	1887	2692	2793	3698
......5519 Eclagnens*	0	500	7	0	0	621	1100	823	400	530	860	1895	883	503	2858	1909	0	0
......5518 Echallens	11730	6346	9407	13485	10870	16503	17679	20077	13703	13677	17508	11230	15091	10359	7193	21482	24682	10700
......5517 Dommartin*	990	700	150	450	345	660	50	650	400	495	362	15	153	1921	845	1372	0	0
......5516 Cugy (VD)	1062	2741	4731	9474	5756	3119	5105	4848	6512	4236	1046	3078	5309	6723	9973	20466	12722	21750
......5515 Bretigny-sur-Morrens	970	650	350	2000	1170	3495	3115	900	4025	2326	2240	2560	1750	50	1380	1811	389	1394
......5514 Bottens	840	1140	220	3218	4166	5152	3729	2740	841	2148	5212	1948	2029	5950	4631	11410	5160	2620
......5513 Bioley-Orjulaz	0	1300	0	250	250	0	770	2140	5959	1643	2582	2230	1111	5830	6330	1374	2320	782
......5512 Bercher	2310	1080	747	2665	2803	1675	1545	1693	450	5979	9743	4349	7180	2811	7199	3500	4063	6057
......5511 Assens	3244	3663	1980	2607	5308	909	3716	4872	4179	3073	1870	1617	3143	6107	3720	2355	1728	7760
......5503 Vufflens-la-Ville	2418	1354	665	2837	8839	1999	1286	4125	9044	6524	19165	12788	19242	8301	2840	5086	13289	1599
......5502 Villars-Lussery*	4	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5501 Sullens	2280	1142	1010	6210	2058	850	700	1692	1725	295	1730	1890	2705	1923	1376	1876	4703	3522
......5500 Sévery	270	30	40	585	410	2650	2580	1640	235	15	430	460	340	620	0	46	552	1689
......5499 Senarclens	2660	2450	1380	1110	500	291	715	1130	1400	510	242	738	3320	4640	122	5829	3229	694
......5498 La Sarraz	1150	1737	953	992	2214	1563	2182	2721	874	1010	4849	7592	16052	18626	14145	11696	17038	16717
......5497 Pompaples	311	660	318	1675	960	380	540	800	1193	3317	2330	955	1000	9089	10266	6704	3615	3148
......5496 Penthaz	1860	250	2417	1538	1859	2330	2894	2385	8763	2798	1034	938	5431	14177	17262	7931	7730	5123
......5495 Penthalaz	5830	1890	1225	3604	4109	2375	2743	1850	2311	1842	5937	20561	17893	20858	14449	3910	5762	11308
......5494 Pampigny	463	0	714	1075	343	373	4161	2283	2575	2004	5650	2652	12808	5297	1131	7952	11640	6536
......5493 Orny	680	852	845	1191	900	195	535	760	763	1538	1714	890	980	680	885	599	1434	1213
......5492 Montricher	990	1125	2100	685	890	2322	1129	2744	1912	1350	2125	1660	1122	4737	3684	7069	11496	5902
......5491 Mont-la-Ville	240	75	835	435	1130	135	480	490	890	1180	1085	619	1173	455	40	1550	2525	1526
......5490 Moiry	310	0	315	163	194	231	285	575	2758	980	558	1171	120	880	1245	834	2218	799
......5489 Mex (VD)	0	0	1360	160	950	8800	500	1200	10	6039	6340	5904	5067	1858	3703	33326	44705	47703
......5488 Mauraz	0	0	0	580	500	45	70	300	150	1250	129	30	375	11	374	604	0	0
......5487 Lussery-Villars	70	48	140	52	960	15	477	135	422	820	406	798	1329	1615	1240	1127	1396	3131
......5486 L'Isle	189	2104	336	343	685	555	957	595	2430	2598	3396	5765	8782	3255	2638	2255	3804	2738
......5485 Grancy	850	150	55	250	260	780	1360	680	950	1020	3560	1750	980	2060	262	669	1024	2453
......5484 Gollion	540	690	240	2798	1824	745	925	5763	1350	526	2246	767	1331	2105	1148	2015	12281	14061
......5483 Ferreyres	895	2100	537	1561	799	0	1910	1155	10	1205	395	2576	1527	1351	895	377	143	495
......5482 Eclépens	14982	4630	2295	1740	3570	4400	6141	4080	2125	3528	1573	5924	3211	9091	4010	5968	3042	9331
......5481 Dizy	80	1440	184	99	84	1072	366	810	918	613	1729	199	623	48	1241	447	2093	1647
......5480 Daillens	995	410	80	550	475	910	2267	3288	3203	6573	3702	8655	12176	4527	5245	3031	2060	1903
