Region	Auftraggeber	Art Bauwerk	Art Arbeit	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
......5267 Tremona*	Private Auftraggeber	Tiefbau	Neubau	0	10	5	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
......5267 Tremona*	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	0	0	0	5	0	26	0	0	0	0	0	0
......5266 Stabio	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	50	0	300	350	100	1050	0	5	95	46	3786	7522	2494
......5266 Stabio	Öffentliche Auftraggeber	Hochbau	Umbau	18	73	60	231	0	80	0	500	390	340	50	3340	2684	1929	154	450	4257	2200
......5266 Stabio	Öffentliche Auftraggeber	Tiefbau	Neubau	11665	7440	1065	1062	3463	7398	6421	3390	800	4495	3075	20	0	0	0	24	100	67
......5266 Stabio	Öffentliche Auftraggeber	Tiefbau	Umbau	570	390	1253	890	10789	1015	1368	268	268	0	5618	550	600	202	68	0	3505	2331
......5266 Stabio	Private Auftraggeber	Hochbau	Neubau	38654	22724	18334	22056	19839	18948	12979	16839	14611	21103	27538	38865	42495	54181	23369	44711	58143	51301
......5266 Stabio	Private Auftraggeber	Hochbau	Umbau	6562	4568	6571	4603	14443	8411	7622	6192	7395	4792	2987	5006	3697	19215	27836	20604	13190	22345
......5266 Stabio	Private Auftraggeber	Tiefbau	Neubau	140	55	173	228	197	115	105	145	73	250	0	2	145	100	137	125	350	180
......5266 Stabio	Private Auftraggeber	Tiefbau	Umbau	670	100	90	115	270	135	97	20	54	150	375	70	207	222	20	0	33	54
......5265 Salorino*	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5265 Salorino*	Öffentliche Auftraggeber	Hochbau	Umbau	510	150	0	0	23	0	38	10	0	0	0	0	0	0	0	0	0	0
......5265 Salorino*	Öffentliche Auftraggeber	Tiefbau	Neubau	0	0	457	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5265 Salorino*	Öffentliche Auftraggeber	Tiefbau	Umbau	50	0	0	257	833	213	262	265	0	0	0	0	0	0	0	0	0	0
......5265 Salorino*	Private Auftraggeber	Hochbau	Neubau	1276	580	0	0	1147	1286	727	492	264	0	0	0	0	0	0	0	0	0
......5265 Salorino*	Private Auftraggeber	Hochbau	Umbau	1410	635	500	500	1235	1331	1205	451	560	0	0	0	0	0	0	0	0	0
......5265 Salorino*	Private Auftraggeber	Tiefbau	Neubau	0	10	2	0	0	0	0	54	100	0	0	0	0	0	0	0	0	0
......5265 Salorino*	Private Auftraggeber	Tiefbau	Umbau	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5264 Sagno*	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	50	0	72	0	0	0	0	15	0	0	0	0
......5264 Sagno*	Öffentliche Auftraggeber	Hochbau	Umbau	0	285	0	0	10	0	0	0	0	0	0	0	56	40	0	0	0	0
......5264 Sagno*	Öffentliche Auftraggeber	Tiefbau	Neubau	456	0	0	630	150	0	380	277	313	395	767	190	20	30	0	0	0	0
......5264 Sagno*	Öffentliche Auftraggeber	Tiefbau	Umbau	425	145	110	0	0	10	5	0	0	1529	1329	150	0	0	0	0	0	0
......5264 Sagno*	Private Auftraggeber	Hochbau	Neubau	345	2	334	300	600	1488	1000	205	1609	1534	2385	1957	1000	638	0	0	0	0
......5264 Sagno*	Private Auftraggeber	Hochbau	Umbau	99	409	0	80	175	100	147	10	9	100	192	176	490	716	0	0	0	0
......5264 Sagno*	Private Auftraggeber	Tiefbau	Neubau	15	0	0	0	0	0	0	0	129	75	20	0	0	0	0	0	0	0
......5264 Sagno*	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	0	0	4	0	0	0	10	0	0	0	0	0
......5263 Riva San Vitale	Öffentliche Auftraggeber	Hochbau	Neubau	0	7	0	0	0	0	0	0	100	0	130	80	200	500	510	100	7610	4610
......5263 Riva San Vitale	Öffentliche Auftraggeber	Hochbau	Umbau	671	160	205	630	150	190	489	577	1500	3855	2625	1220	2355	2592	2755	53	0	0
......5263 Riva San Vitale	Öffentliche Auftraggeber	Tiefbau	Neubau	117	382	2556	2063	2070	2865	2596	2065	1126	2315	2450	200	610	381	1105	265	315	456
......5263 Riva San Vitale	Öffentliche Auftraggeber	Tiefbau	Umbau	685	580	1400	570	250	226	0	150	735	604	175	220	810	355	410	418	395	436
......5263 Riva San Vitale	Private Auftraggeber	Hochbau	Neubau	11569	8661	6406	6712	7927	5463	3579	6138	8705	10610	12279	6537	9216	7119	8350	11780	7078	15047
......5263 Riva San Vitale	Private Auftraggeber	Hochbau	Umbau	3932	1840	1858	2055	1764	2574	2477	1841	2546	1870	4317	2055	2056	5428	5496	4546	6058	7969
......5263 Riva San Vitale	Private Auftraggeber	Tiefbau	Neubau	86	98	20	138	32	128	30	0	1	20	0	35	125	54	105	100	35	16
......5263 Riva San Vitale	Private Auftraggeber	Tiefbau	Umbau	66	5	0	135	100	90	15	19	5	130	0	0	0	0	165	44	44	0
......5262 Rancate*	Öffentliche Auftraggeber	Hochbau	Neubau	0	500	900	0	100	0	0	0	0	0	10	0	0	0	0	0	0	0
......5262 Rancate*	Öffentliche Auftraggeber	Hochbau	Umbau	0	0	0	130	200	50	400	150	0	1520	230	120	60	0	0	0	0	0
......5262 Rancate*	Öffentliche Auftraggeber	Tiefbau	Neubau	500	3500	0	600	300	950	1300	1372	300	400	1000	300	709	296	0	0	0	0
......5262 Rancate*	Öffentliche Auftraggeber	Tiefbau	Umbau	14170	23200	21000	21000	12000	1000	2590	1500	911	300	2250	650	820	7405	0	0	0	0
......5262 Rancate*	Private Auftraggeber	Hochbau	Neubau	6914	6594	9474	2394	3070	3380	1809	2021	2129	4825	6012	19720	23893	29595	0	0	0	0
......5262 Rancate*	Private Auftraggeber	Hochbau	Umbau	1435	198	1082	1611	885	1459	666	218	2192	1451	896	1974	3440	5766	0	0	0	0
......5262 Rancate*	Private Auftraggeber	Tiefbau	Neubau	75	0	460	280	210	113	0	0	14	35	34	0	0	0	0	0	0	0
......5262 Rancate*	Private Auftraggeber	Tiefbau	Umbau	30	30	230	480	600	200	50	25	173	155	455	163	475	450	0	0	0	0
......5260 Novazzano	Öffentliche Auftraggeber	Hochbau	Neubau	4669	3486	0	0	280	10	5	2	10	50	0	100	100	0	200	0	324	0
......5260 Novazzano	Öffentliche Auftraggeber	Hochbau	Umbau	300	50	80	2	146	0	0	555	3590	3140	0	550	0	345	800	361	90	0
......5260 Novazzano	Öffentliche Auftraggeber	Tiefbau	Neubau	2572	35	60	80	264	726	615	500	0	850	50	20	20	156	0	0	0	0
......5260 Novazzano	Öffentliche Auftraggeber	Tiefbau	Umbau	4618	180	312	455	145	305	40	40	305	30	210	490	1210	867	1848	1094	937	6592
......5260 Novazzano	Private Auftraggeber	Hochbau	Neubau	5166	4278	3430	3111	3623	2719	4095	5140	13699	3617	8481	9988	7251	4976	11158	7588	12128	27067
......5260 Novazzano	Private Auftraggeber	Hochbau	Umbau	6875	4247	2535	5215	765	1080	1795	1352	3232	637	5498	1806	2215	789	796	2418	2209	3260
......5260 Novazzano	Private Auftraggeber	Tiefbau	Neubau	7	0	30	30	2	57	315	200	114	200	55	0	4002	127	303	326	0	104
......5260 Novazzano	Private Auftraggeber	Tiefbau	Umbau	30	0	0	0	0	0	0	80	95	170	70	5	0	117	59	18	21	64
......5259 Muggio*	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	10	0	0	0	0	50	37	0	0	0	0	0	0	0	0
......5259 Muggio*	Öffentliche Auftraggeber	Hochbau	Umbau	0	120	165	0	0	20	200	0	0	0	0	0	0	0	50	0	0	0
......5259 Muggio*	Öffentliche Auftraggeber	Tiefbau	Neubau	0	280	140	542	759	168	57	140	0	0	0	0	0	0	0	0	0	0
......5259 Muggio*	Öffentliche Auftraggeber	Tiefbau	Umbau	70	140	157	60	210	50	25	0	0	40	10	0	0	0	0	0	0	0
......5259 Muggio*	Private Auftraggeber	Hochbau	Neubau	749	3	0	0	0	12	6	0	200	100	28	1800	1664	1395	0	0	0	0
......5259 Muggio*	Private Auftraggeber	Hochbau	Umbau	1230	527	611	629	213	278	375	80	752	547	1663	1825	677	82	0	0	0	0
......5259 Muggio*	Private Auftraggeber	Tiefbau	Neubau	0	25	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
......5259 Muggio*	Private Auftraggeber	Tiefbau	Umbau	0	0	0	8	0	0	0	0	0	0	34	0	0	0	0	0	0	0
......5258 Morbio Superiore*	Öffentliche Auftraggeber	Hochbau	Neubau	53	0	100	82	82	122	114	0	0	0	0	0	0	0	0	0	0	0
......5258 Morbio Superiore*	Öffentliche Auftraggeber	Hochbau	Umbau	0	0	7	0	0	0	0	308	0	100	0	0	0	0	0	0	0	0
......5258 Morbio Superiore*	Öffentliche Auftraggeber	Tiefbau	Neubau	0	0	0	60	300	0	0	0	0	0	0	86	380	308	0	0	0	0
......5258 Morbio Superiore*	Öffentliche Auftraggeber	Tiefbau	Umbau	660	260	0	21	0	300	10	0	440	700	400	350	0	0	0	0	0	0
......5258 Morbio Superiore*	Private Auftraggeber	Hochbau	Neubau	3233	1410	745	603	10	175	55	0	449	235	2518	6215	3063	5394	0	0	0	0
......5258 Morbio Superiore*	Private Auftraggeber	Hochbau	Umbau	669	1412	0	370	187	348	681	307	299	150	0	0	953	655	0	0	0	0
......5258 Morbio Superiore*	Private Auftraggeber	Tiefbau	Neubau	100	30	40	30	30	0	0	15	0	0	20	20	4	0	0	0	0	0
......5258 Morbio Superiore*	Private Auftraggeber	Tiefbau	Umbau	0	0	0	20	0	0	0	38	19	40	170	53	0	0	0	0	0	0
......5257 Morbio Inferiore	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	400	400	550	0	0	595	88	16	0	55	0	0	0
......5257 Morbio Inferiore	Öffentliche Auftraggeber	Hochbau	Umbau	0	0	0	0	0	0	98	2075	1540	0	1980	1197	910	948	3303	4089	1439	1326
......5257 Morbio Inferiore	Öffentliche Auftraggeber	Tiefbau	Neubau	708	0	0	0	1230	1208	136	278	0	0	0	0	457	150	135	135	1599	1735
......5257 Morbio Inferiore	Öffentliche Auftraggeber	Tiefbau	Umbau	600	0	1322	1374	269	172	1000	493	818	490	980	949	1968	864	1343	635	3023	1808
......5257 Morbio Inferiore	Private Auftraggeber	Hochbau	Neubau	3428	4517	4487	4720	3256	5929	5060	4886	7766	6456	20783	15975	13817	18372	20893	18164	9234	15645
......5257 Morbio Inferiore	Private Auftraggeber	Hochbau	Umbau	503	880	806	6704	1554	9197	4845	3111	2729	2322	2861	3023	2028	4524	8405	4662	8920	3120
......5257 Morbio Inferiore	Private Auftraggeber	Tiefbau	Neubau	100	0	10	30	0	0	115	115	218	191	92	145	90	200	208	13	345	631
......5257 Morbio Inferiore	Private Auftraggeber	Tiefbau	Umbau	326	30	80	20	100	0	0	0	0	100	80	128	21	40	3	10	48	245
......5256 Monte*	Öffentliche Auftraggeber	Hochbau	Neubau	35	35	50	70	70	0	0	70	0	0	0	0	0	0	0	0	0	0
......5256 Monte*	Öffentliche Auftraggeber	Hochbau	Umbau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5256 Monte*	Öffentliche Auftraggeber	Tiefbau	Neubau	275	1561	430	715	130	200	0	0	0	0	0	0	0	0	0	0	0	0
......5256 Monte*	Öffentliche Auftraggeber	Tiefbau	Umbau	237	1150	480	311	140	20	40	0	0	0	0	0	0	0	0	0	0	0
......5256 Monte*	Private Auftraggeber	Hochbau	Neubau	0	459	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5256 Monte*	Private Auftraggeber	Hochbau	Umbau	0	193	372	335	150	150	410	50	30	0	0	0	0	0	0	0	0	0
......5256 Monte*	Private Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
......5256 Monte*	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5255 Meride	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	200	280	300	100	100	0	0	0	0	0
......5255 Meride	Öffentliche Auftraggeber	Hochbau	Umbau	0	100	0	700	0	0	0	0	0	0	0	85	0	0	1250	1000	430	0
......5255 Meride	Öffentliche Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	0	0	0	0	20	606	14	0	0	0	0	35	35
......5255 Meride	Öffentliche Auftraggeber	Tiefbau	Umbau	100	200	450	980	380	450	500	500	590	940	440	200	167	0	600	160	0	10
......5255 Meride	Private Auftraggeber	Hochbau	Neubau	720	152	255	428	142	0	25	45	10	5	0	10	416	371	0	0	380	466
......5255 Meride	Private Auftraggeber	Hochbau	Umbau	307	411	101	150	160	122	735	1655	447	336	1811	1188	554	264	1412	967	1517	1271
......5255 Meride	Private Auftraggeber	Tiefbau	Neubau	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
......5255 Meride	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	0	0	60	0	70	0	0	0	5	0	0	2
......5254 Mendrisio	Öffentliche Auftraggeber	Hochbau	Neubau	3055	4253	2895	2505	4700	2550	2200	1262	70	600	2630	2880	1445	521	2167	2919	3500	22090
......5254 Mendrisio	Öffentliche Auftraggeber	Hochbau	Umbau	17754	28785	22687	15324	15600	15155	12360	6889	8762	11167	11530	8001	5695	4620	4020	1320	501	7904
......5254 Mendrisio	Öffentliche Auftraggeber	Tiefbau	Neubau	0	0	0	145	3268	2088	800	2750	163	700	1540	396	870	81	3120	3479	2584	7823
......5254 Mendrisio	Öffentliche Auftraggeber	Tiefbau	Umbau	891	565	1595	350	180	110	0	500	1500	820	9297	4038	680	1223	3237	7183	10105	11922
......5254 Mendrisio	Private Auftraggeber	Hochbau	Neubau	85233	45682	34930	19171	18282	27067	30367	15994	22007	54942	84190	43381	38276	66757	104989	92524	93683	61293
......5254 Mendrisio	Private Auftraggeber	Hochbau	Umbau	38179	9312	13030	7510	11816	18199	18390	14833	15605	10741	24483	13522	20006	18794	32428	40423	31171	21778
......5254 Mendrisio	Private Auftraggeber	Tiefbau	Neubau	0	0	30	0	75	165	50	315	189	241	519	206	173	209	92	914	729	188
......5254 Mendrisio	Private Auftraggeber	Tiefbau	Umbau	100	0	0	0	245	145	0	50	298	100	112	97	4200	4460	514	695	313	817
......5253 Ligornetto	Öffentliche Auftraggeber	Hochbau	Neubau	35	1535	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0
......5253 Ligornetto	Öffentliche Auftraggeber	Hochbau	Umbau	511	132	4279	1804	1683	788	215	465	582	2506	155	600	2060	225	55	105	500	0
......5253 Ligornetto	Öffentliche Auftraggeber	Tiefbau	Neubau	1115	30	0	395	190	241	0	0	0	0	0	0	0	0	0	260	376	376
......5253 Ligornetto	Öffentliche Auftraggeber	Tiefbau	Umbau	1607	1357	2245	795	745	485	0	100	450	1288	1179	742	512	75	38	405	2	1
......5253 Ligornetto	Private Auftraggeber	Hochbau	Neubau	5712	3949	2478	2554	3522	4474	3562	6081	7780	6949	6498	3897	1673	5211	1944	5156	8705	6432
......5253 Ligornetto	Private Auftraggeber	Hochbau	Umbau	1365	850	1326	2321	817	540	526	398	1280	2275	2638	607	925	899	274	1010	2179	5342
......5253 Ligornetto	Private Auftraggeber	Tiefbau	Neubau	30	0	30	102	130	104	102	0	0	0	29	246	0	0	0	0	50	50
......5253 Ligornetto	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	1	113	63	0	80	25	9	0	0	0	0	0	10
......5252 Genestrerio*	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	55	0	0	0	0	0	0	0	0	0	0	750	0	0	0	0
......5252 Genestrerio*	Öffentliche Auftraggeber	Hochbau	Umbau	1400	300	0	0	0	300	0	50	50	455	10	0	0	0	0	0	0	0
......5252 Genestrerio*	Öffentliche Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
......5252 Genestrerio*	Öffentliche Auftraggeber	Tiefbau	Umbau	0	0	0	0	100	100	100	200	170	220	350	570	770	280	0	0	0	0
......5252 Genestrerio*	Private Auftraggeber	Hochbau	Neubau	1013	854	2303	1015	80	22	1122	975	1986	2413	2782	2821	2475	6194	0	0	0	0
......5252 Genestrerio*	Private Auftraggeber	Hochbau	Umbau	267	1802	984	957	1665	504	1020	1008	340	1110	850	1639	642	267	0	0	0	0
......5252 Genestrerio*	Private Auftraggeber	Tiefbau	Neubau	30	0	0	0	0	0	0	0	0	4	0	30	5	0	0	0	0	0
......5252 Genestrerio*	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0
......5251 Coldrerio	Öffentliche Auftraggeber	Hochbau	Neubau	0	90	6695	2000	600	0	0	0	400	0	1000	1330	500	8185	4905	7663	2987	586
......5251 Coldrerio	Öffentliche Auftraggeber	Hochbau	Umbau	100	300	1800	200	0	0	0	0	2619	3363	6178	1034	310	946	0	3160	220	0
......5251 Coldrerio	Öffentliche Auftraggeber	Tiefbau	Neubau	0	0	1000	403	720	550	1189	1424	1398	2188	501	1057	2163	1099	11	286	225	153
......5251 Coldrerio	Öffentliche Auftraggeber	Tiefbau	Umbau	344	0	2065	25	0	97	160	0	0	0	0	0	2000	1341	1000	1437	3344	305
......5251 Coldrerio	Private Auftraggeber	Hochbau	Neubau	3150	4598	5353	3346	4248	7306	7263	5882	3161	15888	17860	5087	6728	5744	6334	7554	10280	18474
......5251 Coldrerio	Private Auftraggeber	Hochbau	Umbau	4603	1632	1104	372	1525	1344	1359	1823	2012	919	5101	2410	2188	7014	3738	5710	6345	6510
......5251 Coldrerio	Private Auftraggeber	Tiefbau	Neubau	0	100	20	80	0	0	40	0	158	0	50	18	0	0	35	35	0	0
......5251 Coldrerio	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	10	15	0	180	180	186	50	200	70	0	0	0	0
......5250 Chiasso	Öffentliche Auftraggeber	Hochbau	Neubau	150	700	31	0	5600	1800	1572	0	3004	8337	11186	9012	3098	4359	5725	2337	751	1923
......5250 Chiasso	Öffentliche Auftraggeber	Hochbau	Umbau	10284	11988	8223	3276	2210	3931	2150	3012	5504	8456	5434	3971	8091	7002	8370	13342	11529	14669
......5250 Chiasso	Öffentliche Auftraggeber	Tiefbau	Neubau	0	130	1910	0	0	300	0	70	0	0	18	0	307	0	0	2771	3815	2628
......5250 Chiasso	Öffentliche Auftraggeber	Tiefbau	Umbau	0	4000	16	66	16	16	0	3000	0	3162	1473	4434	12262	14164	3958	1013	1720	5427
......5250 Chiasso	Private Auftraggeber	Hochbau	Neubau	28068	20706	13560	11847	12315	41095	1408	6042	7564	6367	29628	15740	39215	35115	18544	16759	17491	29735
......5250 Chiasso	Private Auftraggeber	Hochbau	Umbau	3019	3739	4836	3684	4838	2967	2477	8829	3983	13030	19910	22992	14945	11574	6964	7991	6376	3606
......5250 Chiasso	Private Auftraggeber	Tiefbau	Neubau	1	30	0	15	25	29	50	103	183	0	69	117	0	0	0	0	240	0
......5250 Chiasso	Private Auftraggeber	Tiefbau	Umbau	34	0	0	0	0	120	60	65	64	615	1150	0	0	0	90	108	0	0
......5249 Castel San Pietro	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	30	23	246	40	50	0	0	0	0	0	0	0	0	0	0
......5249 Castel San Pietro	Öffentliche Auftraggeber	Hochbau	Umbau	41	0	272	210	50	100	0	0	0	100	735	0	200	90	350	499	234	768
......5249 Castel San Pietro	Öffentliche Auftraggeber	Tiefbau	Neubau	0	0	0	0	110	425	609	1105	965	330	3437	780	2072	150	580	463	579	992
......5249 Castel San Pietro	Öffentliche Auftraggeber	Tiefbau	Umbau	2476	1279	963	430	45	10	0	0	0	310	85	10	1024	125	2022	854	923	830
......5249 Castel San Pietro	Private Auftraggeber	Hochbau	Neubau	1673	3083	930	1590	5915	7577	5931	2863	7547	5883	7417	4436	6616	4479	2122	3283	5660	5577
......5249 Castel San Pietro	Private Auftraggeber	Hochbau	Umbau	1637	2188	1744	6834	11030	1241	2160	1204	3691	3801	7971	5975	7347	4242	2184	4831	4863	4889
......5249 Castel San Pietro	Private Auftraggeber	Tiefbau	Neubau	85	0	5	78	1	0	0	8	3	0	213	15	195	35	80	109	33	62
......5249 Castel San Pietro	Private Auftraggeber	Tiefbau	Umbau	0	55	0	0	0	5	0	140	80	920	154	0	0	658	0	131	44	84
......5248 Casima*	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5248 Casima*	Öffentliche Auftraggeber	Hochbau	Umbau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5248 Casima*	Öffentliche Auftraggeber	Tiefbau	Neubau	0	0	0	0	120	120	0	0	0	0	0	0	0	0	0	0	0	0
......5248 Casima*	Öffentliche Auftraggeber	Tiefbau	Umbau	270	500	380	190	111	130	120	320	390	0	0	0	0	0	0	0	0	0
......5248 Casima*	Private Auftraggeber	Hochbau	Neubau	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5248 Casima*	Private Auftraggeber	Hochbau	Umbau	40	0	0	0	0	0	0	60	184	0	0	0	0	0	0	0	0	0
......5248 Casima*	Private Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5248 Casima*	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
......5247 Capolago*	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5247 Capolago*	Öffentliche Auftraggeber	Hochbau	Umbau	0	20	5	0	0	0	105	0	0	0	638	203	50	0	0	0	0	0
......5247 Capolago*	Öffentliche Auftraggeber	Tiefbau	Neubau	0	95	80	80	70	70	0	0	0	0	100	560	120	120	0	0	0	0
......5247 Capolago*	Öffentliche Auftraggeber	Tiefbau	Umbau	43	240	190	0	80	890	20	0	0	0	1662	0	0	0	0	0	0	0
......5247 Capolago*	Private Auftraggeber	Hochbau	Neubau	1167	2515	3185	4814	4303	3423	2450	2366	2385	1620	781	6551	18578	17572	0	0	0	0
......5247 Capolago*	Private Auftraggeber	Hochbau	Umbau	1746	687	155	642	106	100	135	1370	780	695	1672	972	73	1417	0	0	0	0
......5247 Capolago*	Private Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	136	68	0	0	0	0	0	0	0	0	0	0	0
......5247 Capolago*	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
......5246 Caneggio*	Öffentliche Auftraggeber	Hochbau	Neubau	0	50	42	70	7	0	15	0	0	0	0	0	0	0	0	0	0	0
......5246 Caneggio*	Öffentliche Auftraggeber	Hochbau	Umbau	543	150	502	0	90	82	37	15	0	0	0	0	0	30	0	0	0	0
......5246 Caneggio*	Öffentliche Auftraggeber	Tiefbau	Neubau	400	250	0	800	750	544	608	400	200	0	0	0	200	16	0	0	0	0
......5246 Caneggio*	Öffentliche Auftraggeber	Tiefbau	Umbau	742	400	0	15	416	115	440	400	500	0	80	80	80	0	0	0	0	0
......5246 Caneggio*	Private Auftraggeber	Hochbau	Neubau	0	0	0	25	50	513	288	0	0	0	324	0	642	206	0	0	0	0
......5246 Caneggio*	Private Auftraggeber	Hochbau	Umbau	2080	952	400	782	400	180	298	183	45	0	157	202	408	162	0	0	0	0
......5246 Caneggio*	Private Auftraggeber	Tiefbau	Neubau	0	0	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5246 Caneggio*	Private Auftraggeber	Tiefbau	Umbau	0	0	10	10	10	0	0	0	0	0	0	0	7	6	0	0	0	0
......5245 Cabbio*	Öffentliche Auftraggeber	Hochbau	Neubau	0	50	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0
......5245 Cabbio*	Öffentliche Auftraggeber	Hochbau	Umbau	0	0	0	0	0	120	300	800	800	200	100	0	0	0	0	0	0	0
......5245 Cabbio*	Öffentliche Auftraggeber	Tiefbau	Neubau	0	340	669	1279	510	186	70	45	30	215	0	0	0	0	0	0	0	0
......5245 Cabbio*	Öffentliche Auftraggeber	Tiefbau	Umbau	0	0	195	100	265	40	65	0	0	0	0	90	165	98	0	0	0	0
......5245 Cabbio*	Private Auftraggeber	Hochbau	Neubau	0	0	35	74	300	366	346	0	0	0	0	0	0	0	0	0	0	0
......5245 Cabbio*	Private Auftraggeber	Hochbau	Umbau	1005	150	50	77	363	423	445	307	415	556	1020	0	44	539	0	0	0	0
......5245 Cabbio*	Private Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	0	0	0	30	6	0	0	0	0	0	0	0	0
......5245 Cabbio*	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
......5244 Bruzella*	Öffentliche Auftraggeber	Hochbau	Neubau	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5244 Bruzella*	Öffentliche Auftraggeber	Hochbau	Umbau	8	0	100	130	0	35	0	0	0	0	2	0	50	170	0	0	0	0
......5244 Bruzella*	Öffentliche Auftraggeber	Tiefbau	Neubau	0	533	0	314	246	57	40	15	15	0	0	0	500	0	0	0	0	0
......5244 Bruzella*	Öffentliche Auftraggeber	Tiefbau	Umbau	0	200	274	130	1025	1100	165	565	300	800	545	260	22	50	0	0	0	0
......5244 Bruzella*	Private Auftraggeber	Hochbau	Neubau	0	20	200	100	0	437	100	0	285	288	0	0	3900	0	0	0	0	0
......5244 Bruzella*	Private Auftraggeber	Hochbau	Umbau	63	60	340	125	127	255	32	448	169	165	347	0	358	144	0	0	0	0
......5244 Bruzella*	Private Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	0	0	0
......5244 Bruzella*	Private Auftraggeber	Tiefbau	Umbau	0	0	3	0	0	20	0	20	18	0	0	10	0	0	0	0	0	0
......5243 Besazio	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......5243 Besazio	Öffentliche Auftraggeber	Hochbau	Umbau	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0
......5243 Besazio	Öffentliche Auftraggeber	Tiefbau	Neubau	0	0	50	0	0	320	320	320	300	80	50	0	50	0	270	273	83	98
......5243 Besazio	Öffentliche Auftraggeber	Tiefbau	Umbau	0	0	230	200	150	300	470	324	400	1160	0	0	0	0	0	824	59	110
......5243 Besazio	Private Auftraggeber	Hochbau	Neubau	3129	1716	3944	1874	2372	3673	5260	4093	2167	405	2481	2259	1764	2712	350	350	696	16
......5243 Besazio	Private Auftraggeber	Hochbau	Umbau	1071	172	120	0	155	500	320	310	467	1132	464	80	110	392	586	684	977	1924
......5243 Besazio	Private Auftraggeber	Tiefbau	Neubau	80	50	0	0	0	2	0	10	20	0	0	0	0	0	0	0	2	97
......5243 Besazio	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	70	1	5	2	0	0	70	100	70	15	15	0	0
......5242 Balerna	Öffentliche Auftraggeber	Hochbau	Neubau	2333	2300	25	1695	1670	0	0	0	0	20	0	0	3110	2123	225	0	7389	4189
......5242 Balerna	Öffentliche Auftraggeber	Hochbau	Umbau	1755	1170	380	543	284	2553	807	967	488	3289	6104	4752	3123	4554	2533	539	332	300
